name,nn_score,gbm_score,rfc_score,svm_score,score
Max Scherzer,0.9999801516532898,0.8038592831976257,0.5902903444285476,0.8432952660363465,0.9173153477057205
Jacob deGrom,0.16249153017997742,0.7427391794009429,0.5578020314071124,0.48431541326860167,0.13841910550924816
Corey Kluber,0.965308427810669,0.012854410125651389,0.18631098332513357,0.5807673739718305,0.12350480023991772
Blake Snell,0.6901330947875977,0.002393926386651447,0.19506517010591135,0.1134610327749161,0.011859099224897623
Trevor Bauer,0.6958075761795044,5.384321999788798e-05,0.0740406204447791,0.041848025681947565,0.007396334811130445
Gerrit Cole,0.1987929493188858,0.000940791110341704,0.22673466518984006,0.03740505171962937,0.0019268432799348595
Chris Sale,0.03162120282649994,0.014987351499429693,0.29134487902099737,0.09106178659043643,0.0015752974912630854
Patrick Corbin,0.0773596242070198,0.003680127911609193,0.15199720431093433,0.03090817215514734,0.0010857766074754284
Justin Verlander,0.017611468210816383,0.019973119283593407,0.25171577103316317,0.011813465045509055,0.0010852405167186532
Aaron Nola,0.07825200259685516,0.0036270756621489516,0.13772435802773203,0.010175048621731655,0.0009875137133623841
