Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,CC Sabathia,CLE,119.0,19.0,85%,6.3,19,7,.731,3.21,34,34,0,4,1,0,241.0,238,94,86,20,37,1,209,8,0,1,975,1.141,141
2,Josh Beckett,BOS,86.0,8.0,61%,6.5,20,7,.741,3.27,30,30,0,1,0,0,200.2,189,76,73,17,40,0,194,5,0,3,822,1.141,145
3,John Lackey,LAA,36.0,1.0,26%,6.3,19,9,.679,3.01,33,33,0,2,2,0,224.0,219,87,75,18,52,2,179,12,1,9,929,1.210,150
4,Roberto Hernandez,CLE,7.0,0.0,5%,6.2,19,8,.704,3.06,32,32,0,2,1,0,215.0,199,78,73,16,61,2,137,11,1,5,879,1.209,148
5,Erik Bedard,BAL,1.0,0.0,1%,5.7,13,5,.722,3.16,28,28,0,1,1,0,182.0,141,66,64,19,57,0,221,5,0,3,733,1.088,146
5,Roy Halladay,TOR,1.0,0.0,1%,3.5,16,7,.696,3.71,31,31,0,7,1,0,225.1,232,101,93,15,48,3,139,3,0,4,927,1.243,121
5,Johan Santana,MIN,1.0,0.0,1%,5.0,15,13,.536,3.33,33,33,0,1,1,0,219.0,183,88,81,33,52,0,235,4,1,7,878,1.073,129
5,Justin Verlander,DET,1.0,0.0,1%,4.2,18,6,.750,3.66,32,32,0,1,1,0,201.2,181,88,82,20,67,3,183,19,2,17,866,1.230,125
