Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Jake Arrieta,CHC,169.0,17.0,80%,8.7,22,6,.786,1.77,33,33,0,4,3,0,229.0,150,52,45,10,48,2,236,6,0,6,870,0.865,217
2,Zack Greinke,LAD,147.0,10.0,70%,9.3,19,3,.864,1.66,32,32,0,1,0,0,222.2,148,43,41,14,40,1,200,5,0,7,843,0.844,220
3,Clayton Kershaw,LAD,101.0,3.0,48%,7.5,16,7,.696,2.13,33,33,0,4,3,0,232.2,163,62,55,15,42,1,301,5,3,9,890,0.881,171
4,Gerrit Cole,PIT,40.0,0.0,19%,4.5,19,8,.704,2.60,32,32,0,0,0,0,208.0,183,71,60,11,44,1,202,10,0,7,832,1.091,148
5,Max Scherzer,WSN,32.0,0.0,15%,7.1,14,12,.538,2.79,33,33,0,4,3,0,228.2,176,74,71,27,34,2,276,5,1,10,899,0.918,142
6,Madison Bumgarner,SFG,8.0,0.0,4%,4.8,18,9,.667,2.93,32,32,0,4,2,0,218.1,181,73,71,21,39,2,234,7,0,1,869,1.008,131
7,Jacob deGrom,NYM,7.0,0.0,3%,4.7,14,8,.636,2.54,30,30,0,0,0,0,191.0,149,59,54,16,38,2,205,2,0,6,751,0.979,148
8,Mark Melancon,PIT,5.0,0.0,2%,1.9,3,2,.600,2.23,78,0,63,0,0,51,76.2,57,22,19,4,14,2,62,2,0,3,293,0.926,173
9,John Lackey,STL,1.0,0.0,0%,5.7,13,10,.565,2.77,33,33,0,1,0,0,218.0,211,71,67,21,53,5,175,4,3,5,896,1.211,142
