Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Roger Clemens,HOU,140.0,23.0,88%,5.4,18,4,.818,2.98,33,33,0,0,0,0,214.1,169,76,71,15,79,5,218,6,0,5,878,1.157,145
2,Randy Johnson,ARI,97.0,8.0,61%,8.5,16,14,.533,2.60,35,35,0,4,2,0,245.2,177,88,71,18,44,1,290,10,1,3,964,0.900,176
3,Roy Oswalt,HOU,19.0,1.0,12%,4.0,20,10,.667,3.49,36,35,0,2,2,0,237.0,233,100,92,17,62,5,206,11,1,5,983,1.245,124
4,Jason Schmidt,SFG,13.0,0.0,8%,6.7,18,7,.720,3.20,32,32,0,4,3,0,225.0,165,84,80,18,77,3,251,3,1,7,907,1.076,136
5,Carlos Zambrano,CHC,8.0,0.0,5%,6.7,16,8,.667,2.75,31,31,0,1,1,0,209.2,174,73,64,14,81,4,188,20,2,6,887,1.216,160
6,Carl Pavano,FLA,6.0,0.0,4%,5.3,18,8,.692,3.00,31,31,0,2,2,0,222.1,212,80,74,16,49,13,139,11,3,2,909,1.174,137
7,Eric Gagne,LAD,3.0,0.0,2%,2.2,7,3,.700,2.19,70,0,59,0,0,45,82.1,53,24,20,5,22,3,114,5,0,2,326,0.911,188
8,Brad Lidge,HOU,1.0,0.0,1%,3.8,6,5,.545,1.90,80,0,44,0,0,29,94.2,57,21,20,8,30,5,157,6,1,3,369,0.919,228
8,Ben Sheets,MIL,1.0,0.0,1%,7.2,12,14,.462,2.70,34,34,0,5,0,0,237.0,201,85,71,25,32,1,264,4,1,8,937,0.983,162
