Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Brandon Webb,ARI,103.0,15.0,64%,7.0,16,8,.667,3.10,33,33,0,5,3,0,235.0,216,91,81,15,50,4,178,6,2,5,950,1.132,152
2,Trevor Hoffman,SDP,77.0,12.0,48%,2.1,0,2,.000,2.14,65,0,50,0,0,46,63.0,48,16,15,6,13,1,50,1,0,2,248,0.968,190
3,Chris Carpenter,STL,63.0,2.0,39%,5.1,15,8,.652,3.09,32,32,0,5,3,0,221.2,194,81,76,21,43,3,184,10,0,3,896,1.069,144
4,Roy Oswalt,HOU,31.0,3.0,19%,5.9,15,8,.652,2.98,33,32,1,2,0,0,220.2,220,76,73,18,38,4,166,6,1,1,896,1.169,150
5,Carlos Zambrano,CHC,6.0,0.0,4%,5.2,16,7,.696,3.41,33,33,0,0,0,0,214.0,162,91,81,20,115,4,210,9,1,9,917,1.294,136
6,Billy Wagner,NYM,4.0,0.0,2%,2.2,3,2,.600,2.24,70,0,59,0,0,40,72.1,59,22,18,7,21,1,94,4,0,2,297,1.106,196
7,John Smoltz,ATL,3.0,0.0,2%,5.9,16,9,.640,3.49,35,35,0,3,1,0,232.0,221,93,90,23,55,4,211,9,0,5,960,1.190,128
8,Takashi Saito,LAD,1.0,0.0,1%,3.2,6,2,.750,2.07,72,0,48,0,0,24,78.1,48,19,18,3,23,3,107,2,0,2,303,0.906,218
